['diagnoses', 'treats', 'affects', 'diagnoses']
['diagnoses', 'disrupts', 'associated_with', 'same_as']
['diagnoses', 'isa', 'inhibits', 'isa']
['diagnoses', 'coexists_with', 'coexists_with', 'coexists_with']
['diagnoses', 'coexists_with', 'affects', 'complicates']
['diagnoses', 'interacts_with', 'isa', 'location_of']
['diagnoses', 'same_as', 'associated_with', 'occurs_in']
['diagnoses', 'location_of', 'produces', 'treats']
['diagnoses', 'causes', 'disrupts', 'diagnoses']
['diagnoses', 'associated_with', 'affects', 'causes']
['diagnoses', 'produces', 'diagnoses', 'interacts_with']
['diagnoses', 'prevents', 'part_of', 'treats']
['diagnoses', 'coexists_with', 'produces', 'interacts_with']
['diagnoses', 'associated_with', 'prevents', 'occurs_in']
['diagnoses', 'location_of', 'prevents', 'treats']
['diagnoses', 'diagnoses', 'diagnoses', 'associated_with']
['diagnoses', 'augments', 'treats', 'interacts_with']
['diagnoses', 'treats', 'affects', 'affects']
['diagnoses', 'prevents', 'same_as', 'prevents']
['diagnoses', 'compared_with', 'coexists_with', 'augments']
['diagnoses', 'isa', 'complicates', 'disrupts']
['diagnoses', 'coexists_with', 'location_of', 'coexists_with']
['diagnoses', 'diagnoses', 'affects', 'isa']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'disrupts', 'treats', 'occurs_in']
['diagnoses', 'isa', 'produces', 'treats']
['diagnoses', 'associated_with', 'isa']
['diagnoses', 'inhibits', 'complicates', 'part_of']
['diagnoses', 'associated_with', 'prevents', 'interacts_with']
['diagnoses', 'affects', 'affects', 'disrupts']
['diagnoses', 'augments', 'inhibits', 'associated_with']
['diagnoses', 'treats', 'compared_with', 'compared_with']
['diagnoses', 'stimulates', 'location_of', 'location_of']
['diagnoses', 'coexists_with', 'causes', 'isa']
['diagnoses', 'produces', 'inhibits', 'inhibits']
['diagnoses', 'occurs_in', 'complicates', 'part_of']
['diagnoses', 'complicates', 'compared_with', 'associated_with']
['diagnoses', 'produces', 'associated_with', 'produces']
['diagnoses', 'diagnoses', 'stimulates', 'same_as']
['diagnoses', 'same_as']
['diagnoses', 'same_as', 'part_of', 'location_of']
['diagnoses', 'causes', 'causes', 'compared_with']
['diagnoses', 'augments', 'treats', 'same_as']
['diagnoses', 'isa', 'affects', 'associated_with']
['diagnoses', 'same_as', 'associated_with', 'prevents']
['diagnoses', 'associated_with']
['diagnoses', 'disrupts', 'stimulates', 'associated_with']
['diagnoses', 'stimulates', 'inhibits', 'prevents']
['diagnoses', 'same_as', 'coexists_with', 'stimulates']
['diagnoses', 'associated_with', 'causes', 'compared_with']
['diagnoses', 'inhibits', 'interacts_with', 'prevents']
['diagnoses', 'diagnoses', 'inhibits', 'part_of']
['diagnoses', 'part_of', 'diagnoses', 'stimulates']
['diagnoses', 'produces', 'complicates', 'associated_with']
['diagnoses']
['diagnoses', 'treats', 'part_of', 'compared_with']
['diagnoses', 'stimulates', 'stimulates', 'same_as']
['diagnoses', 'part_of', 'isa']
['diagnoses', 'stimulates', 'part_of', 'causes']
['diagnoses', 'treats', 'associated_with', 'associated_with']
['diagnoses', 'inhibits', 'prevents', 'augments']
['diagnoses', 'interacts_with', 'affects', 'location_of']
['diagnoses', 'part_of', 'compared_with', 'affects']
['diagnoses', 'associated_with', 'diagnoses', 'diagnoses']
['diagnoses', 'causes', 'part_of', 'produces']
['diagnoses', 'produces', 'diagnoses', 'produces']
['diagnoses', 'occurs_in', 'inhibits', 'isa']
['diagnoses', 'causes', 'associated_with', 'affects']
['diagnoses', 'interacts_with', 'occurs_in', 'complicates']
['diagnoses', 'same_as', 'produces', 'occurs_in']
['diagnoses', 'produces', 'prevents', 'same_as']
['diagnoses', 'associated_with', 'stimulates', 'inhibits']
['diagnoses', 'diagnoses', 'interacts_with', 'disrupts']
['diagnoses', 'part_of', 'causes', 'compared_with']
['diagnoses', 'coexists_with']
['diagnoses', 'compared_with', 'isa', 'associated_with']
['diagnoses', 'produces', 'occurs_in', 'prevents']
['diagnoses', 'occurs_in', 'stimulates', 'interacts_with']
['diagnoses', 'produces', 'coexists_with', 'stimulates']
['diagnoses', 'isa', 'complicates', 'diagnoses']
['diagnoses', 'treats', 'prevents', 'diagnoses']
['diagnoses', 'disrupts', 'part_of', 'treats']
['diagnoses', 'associated_with', 'same_as', 'causes']
['diagnoses', 'disrupts', 'compared_with', 'prevents']
['diagnoses', 'interacts_with', 'affects', 'isa']
['diagnoses', 'stimulates', 'produces', 'complicates']
['diagnoses', 'interacts_with', 'associated_with', 'associated_with']
['diagnoses', 'same_as', 'causes', 'complicates']
['diagnoses', 'stimulates', 'occurs_in', 'isa']
['diagnoses', 'associated_with', 'diagnoses', 'interacts_with']
['diagnoses', 'stimulates', 'isa', 'stimulates']
['diagnoses', 'prevents', 'produces', 'associated_with']
['diagnoses', 'stimulates', 'causes', 'diagnoses']
