['diagnoses', 'complicates', 'compared_with', 'causes']
['diagnoses', 'diagnoses', 'part_of', 'augments']
['diagnoses', 'stimulates', 'affects', 'complicates']
['diagnoses', 'inhibits', 'produces', 'location_of']
['diagnoses', 'compared_with', 'stimulates', 'treats']
['diagnoses', 'prevents', 'part_of', 'diagnoses']
['diagnoses', 'produces', 'prevents', 'associated_with']
['diagnoses', 'coexists_with', 'compared_with', 'augments']
['diagnoses', 'diagnoses', 'interacts_with', 'diagnoses']
['diagnoses', 'produces', 'associated_with', 'interacts_with']
['diagnoses', 'prevents', 'compared_with', 'produces']
['diagnoses', 'diagnoses', 'affects', 'coexists_with']
['diagnoses', 'compared_with', 'compared_with', 'inhibits']
['diagnoses', 'part_of', 'complicates', 'associated_with']
['diagnoses', 'associated_with', 'interacts_with', 'part_of']
['diagnoses', 'complicates', 'associated_with', 'prevents']
['diagnoses', 'treats', 'treats', 'same_as']
['diagnoses', 'isa', 'causes', 'part_of']
['diagnoses', 'inhibits', 'affects']
['diagnoses', 'isa', 'associated_with', 'augments']
['diagnoses', 'inhibits', 'inhibits', 'complicates']
['diagnoses', 'prevents', 'augments', 'part_of']
['diagnoses', 'isa', 'augments', 'same_as']
['diagnoses', 'produces', 'causes', 'affects']
['diagnoses', 'affects', 'inhibits', 'same_as']
['diagnoses', 'same_as', 'part_of', 'coexists_with']
['diagnoses', 'stimulates', 'part_of', 'same_as']
['diagnoses', 'produces', 'treats', 'prevents']
['diagnoses', 'coexists_with', 'associated_with', 'diagnoses']
['diagnoses', 'diagnoses', 'stimulates', 'compared_with']
['diagnoses', 'causes', 'causes', 'disrupts']
['diagnoses', 'complicates', 'diagnoses', 'stimulates']
['diagnoses', 'complicates', 'diagnoses', 'augments']
['diagnoses', 'complicates', 'location_of', 'diagnoses']
['diagnoses', 'same_as', 'coexists_with', 'causes']
['diagnoses', 'part_of', 'causes']
['diagnoses', 'same_as', 'part_of', 'location_of']
['diagnoses', 'associated_with', 'interacts_with', 'complicates']
['diagnoses', 'complicates', 'coexists_with', 'same_as']
['diagnoses', 'compared_with', 'complicates', 'disrupts']
['diagnoses', 'location_of', 'interacts_with', 'interacts_with']
['diagnoses', 'complicates', 'occurs_in', 'disrupts']
['diagnoses', 'part_of', 'stimulates', 'associated_with']
['diagnoses', 'occurs_in', 'produces', 'causes']
['diagnoses', 'causes', 'occurs_in', 'coexists_with']
['diagnoses', 'compared_with', 'coexists_with']
['diagnoses', 'occurs_in', 'location_of', 'disrupts']
['diagnoses', 'complicates', 'part_of', 'diagnoses']
['diagnoses', 'disrupts', 'isa', 'inhibits']
['diagnoses', 'occurs_in', 'inhibits', 'produces']
['diagnoses', 'compared_with', 'isa', 'part_of']
['diagnoses', 'occurs_in', 'diagnoses', 'treats']
['diagnoses', 'interacts_with', 'affects', 'location_of']
['diagnoses']
['diagnoses', 'diagnoses', 'occurs_in', 'location_of']
['diagnoses', 'isa', 'diagnoses', 'treats']
['diagnoses', 'coexists_with', 'prevents', 'treats']
['diagnoses', 'compared_with', 'same_as', 'interacts_with']
['diagnoses', 'produces', 'occurs_in', 'disrupts']
['diagnoses', 'isa', 'affects', 'causes']
['diagnoses', 'isa']
['diagnoses', 'interacts_with', 'causes', 'affects']
['diagnoses', 'interacts_with', 'same_as', 'compared_with']
['diagnoses', 'part_of']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'augments', 'occurs_in', 'associated_with']
['diagnoses', 'inhibits', 'affects', 'same_as']
['diagnoses', 'treats', 'disrupts', 'isa']
['diagnoses', 'stimulates', 'coexists_with', 'stimulates']
['diagnoses', 'disrupts', 'diagnoses', 'occurs_in']
['diagnoses', 'same_as', 'treats']
['diagnoses', 'inhibits', 'occurs_in', 'diagnoses']
['diagnoses', 'location_of', 'compared_with', 'diagnoses']
['diagnoses', 'inhibits', 'compared_with', 'augments']
['diagnoses', 'prevents', 'occurs_in', 'causes']
['diagnoses', 'compared_with']
['diagnoses', 'complicates', 'diagnoses', 'diagnoses']
['diagnoses', 'complicates', 'occurs_in', 'augments']
['diagnoses', 'produces', 'affects', 'augments']
['diagnoses', 'compared_with', 'inhibits', 'augments']
['diagnoses', 'diagnoses', 'location_of', 'causes']
['diagnoses', 'treats', 'stimulates', 'affects']
['diagnoses', 'associated_with', 'prevents', 'complicates']
['diagnoses', 'occurs_in', 'same_as']
['diagnoses', 'affects', 'location_of', 'affects']
['diagnoses', 'inhibits', 'augments', 'inhibits']
['diagnoses', 'location_of', 'isa', 'interacts_with']
['diagnoses', 'location_of', 'same_as', 'stimulates']
['diagnoses', 'coexists_with', 'associated_with', 'complicates']
['diagnoses', 'location_of', 'inhibits', 'part_of']
['diagnoses', 'disrupts', 'coexists_with', 'complicates']
['diagnoses', 'occurs_in', 'treats', 'inhibits']
['diagnoses', 'same_as', 'coexists_with', 'part_of']
['diagnoses', 'stimulates', 'same_as', 'complicates']
['diagnoses', 'causes', 'prevents']
['occurs_in', 'affects', 'associated_with', 'prevents']
['occurs_in', 'coexists_with', 'same_as', 'treats']
['occurs_in', 'part_of', 'same_as', 'complicates']
['occurs_in', 'compared_with', 'prevents', 'isa']
['occurs_in', 'causes', 'treats', 'treats']
