8264	10	4830
1137	10	4929
1371	14	7338
1984	5	6415
945	10	6816
6835	11	4893
4725	17	675
2824	5	4446
7196	19	181
3181	8	8181
1494	16	3443
434	16	8308
136	12	3500
8220	8	7600
2632	9	4754
100	11	6112
7283	14	2071
1567	12	6176
1133	16	788
6042	15	207
8267	12	1682
7807	11	8655
2702	12	5452
1125	19	4106
7000	12	8509
2641	12	1421
4554	7	5231
6445	14	4716
5976	16	4112
8363	12	536
2091	13	74
2602	15	3413
5251	12	7652
1134	13	9
6243	14	3000
7740	14	2387
6687	10	5168
1226	15	5267
379	19	6825
2177	12	7504
1718	5	5409
1055	8	7338
1117	14	7374
7278	9	7280
844	12	1951
8073	12	1421
6549	16	3701
7408	16	7456
8053	18	4081
2414	15	3182
7290	10	6055
20	14	7321
6703	12	8436
2659	9	1925
3745	7	8481
8621	11	20
6562	12	3314
5038	12	4234
3392	12	4153
6482	14	6085
3395	10	5587
566	10	1210
7988	15	7773
2173	12	8510
1699	15	8374
1587	17	5928
4717	8	1274
6196	9	692
352	12	5452
2942	4	7046
7712	10	31
4740	14	4107
8588	16	8139
422	4	4495
1856	10	505
4505	12	5191
7471	12	202
6626	7	6031
4923	14	202
2321	14	6751
3186	12	730
821	10	3734
7527	16	2422
3858	12	7985
8053	14	3200
6347	12	6555
1865	10	6570
4754	12	5433
1639	16	4090
8209	11	2414
8659	10	5611
8333	13	1274
7775	14	147
1720	10	1347
6537	19	7413
4814	5	2855
8276	14	6221
8504	4	2417
7000	12	1873
8174	9	2992
574	17	4122
4879	10	2849
4815	17	2151
4422	10	943
4754	12	6637
4292	12	8076
3799	12	4916
636	13	1682
3594	8	4112
4124	10	2317
6034	18	8100
601	10	2346
4901	16	2553
2613	7	317
6087	9	8184
2315	10	5063
1540	9	6477
5903	10	5292
6209	11	2418
5295	16	6825
5954	9	8652
3254	15	615
1090	9	1852
6378	8	1424
7892	18	2262
6632	7	448
7965	16	7830
1853	17	6021
4148	10	6874
7657	12	6734
1619	18	2638
3325	9	2287
7362	10	5949
4981	17	2933
6341	10	6175
2519	10	6874
0	15	2757
4358	9	5098
613	10	2916
5695	18	6023
5035	14	4747
7624	5	6028
6466	16	6225
4906	5	6085
352	5	5409
1991	10	7063
7043	12	8060
2798	9	8181
659	7	659
7801	10	7046
5524	15	2583
7568	16	5077
3726	10	518
1993	9	6789
4761	14	3370
5571	13	5158
4442	5	7288
5220	13	5080
3745	13	5377
5330	14	140
3113	16	5053
4067	10	4053
4943	5	6415
3289	12	1996
4860	11	6074
1159	16	5875
2026	11	4754
5113	15	5049
5444	15	1089
3287	10	5378
6015	15	6032
7479	18	5651
5668	10	2059
5782	9	8181
5643	12	6594
7409	16	4749
4464	10	4367
5257	14	1131
679	12	7267
6010	12	6802
5091	12	2237
895	15	5695
5534	13	2889
3239	10	5547
4808	12	4019
6981	11	6446
5023	7	2438
499	15	341
2808	12	2916
7672	9	692
7916	19	2142
764	10	5933
4518	8	7879
3925	12	5945
7864	12	478
2006	13	5809
3235	10	8509
7801	14	4778
7534	16	8171
5202	14	5313
1093	8	230
8486	12	5748
3839	10	2446
5555	11	8314
8184	12	2183
7972	17	1928
3265	16	3392
4198	17	719
4346	7	5120
468	13	1676
91	8	5436
5582	14	4830
4625	13	1267
3840	18	1618
8394	12	7894
2347	8	140
5734	13	1715
694	12	6577
6256	19	5161
4561	12	263
5782	7	1718
1352	12	2916
53	12	504
1939	16	2745
1639	16	598
2557	16	7224
2032	8	2594
3782	17	1337
2165	16	6410
4754	14	6825
3745	13	3597
5226	12	5191
2172	7	6075
3124	12	6090
1999	18	6065
3771	16	896
2846	9	4760
792	8	3525
4569	18	2807
992	9	3285
8556	9	5188
6415	14	6825
119	5	7113
6554	5	6631
4663	11	6074
6057	5	315
845	9	6600
2798	7	8619
4530	14	8237
2926	16	701
2219	9	231
7246	15	1038
2321	5	4446
5064	16	8621
2887	5	8609
7836	12	5131
8446	12	6311
